ID,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
1,No Time to Die,2021,7.6,"107,163","Action, Adventure, Thriller",163,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
2,The Guilty,2021,6.3,"64,375","Crime, Drama, Thriller",90,Film,R,0,None,None,Severe,None,Moderate
3,The Many Saints of Newark,2021,6.4,"27,145","Crime, Drama",120,Film,R,0,Moderate,Severe,Severe,Moderate,Moderate
4,Venom: Let There Be Carnage,2021,6.4,"30,443","Action, Adventure, Sci0Fi",97,Film,PG013,0,None,Moderate,Moderate,Mild,Moderate
5,Dune,2021,8.3,"84,636","Action, Adventure, Drama",155,Film,PG013,0,None,Moderate,None,Mild,Moderate
6,Ted Lasso,2021,8.8,"117,562","Comedy, Drama, Sport",30,Series,TV0MA,23,Mild,None,Severe,Mild,None
7,Free Guy,2021,7.3,"153,835","Action, Adventure, Comedy",115,Film,PG013,0,Mild,Moderate,Moderate,None,Mild
8,House of the Dragon,2021,No Rate,No Votes,"Action, Adventure, Drama",None,Series,None,10,No Rate,No Rate,No Rate,No Rate,No Rate
9,What If...?,2021,7.6,"51,959","Animation, Action, Adventure",None,Series,TV014,18,None,Moderate,Mild,Mild,Moderate
10,Sex Education,2021,8.3,"220,201","Comedy, Drama",45,Series,TV0MA,25,Severe,Mild,Severe,Moderate,Mild
11,The Walking Dead,2021,8.2,"906,327","Drama, Horror, Thriller",44,Series,TV014,177,Mild,Severe,Moderate,Mild,Severe
12,The Chestnut Man,2021,7.9,"15,434","Crime, Drama, Mystery",50,Series,TV0MA,6,Mild,Moderate,Mild,None,Moderate
13,Foundation,2021,7.4,"16,675","Drama, Sci0Fi",None,Series,TV014,11,Mild,Moderate,Mild,No Rate,Mild
14,The Sopranos,2021,9.2,"340,006","Crime, Drama",55,Series,TV0MA,86,Severe,Severe,Severe,Severe,Severe
15,Only Murders in the Building,2021,8.3,"22,988","Comedy, Crime, Drama",None,Series,TV0MA,11,Mild,Moderate,Severe,Mild,Mild
16,American Horror Story,2021,8,"296,306","Drama, Horror, Thriller",60,Series,TV0MA,116,Severe,Severe,Severe,Severe,Severe
17,Seinfeld,2021,8.8,"272,028",Comedy,22,Series,TV0PG,174,Mild,Mild,Mild,Mild,None
18,Grey's Anatomy,2021,7.5,"275,094","Drama, Romance",41,Series,TV014,384,Moderate,Severe,Mild,Moderate,Moderate
19,Game of Thrones,2021,9.2,"1,885,776","Action, Adventure, Drama",57,Series,TV0MA,73,Severe,Severe,Severe,Moderate,Severe
20,Black Widow,2021,6.8,"246,603","Action, Adventure, Sci0Fi",134,Film,PG013,0,None,Moderate,Mild,Mild,Moderate
21,The Last Duel,2021,7.7,"6,498","Action, Drama, History",152,Film,R,0,Severe,Severe,Moderate,Mild,Severe
22,Alice in Borderland,2021,7.7,"33,151","Action, Fantasy, Mystery",50,Series,TV0MA,9,Moderate,Severe,Mild,Mild,Severe
23,Shang0Chi and the Legend of the Ten Rings,2021,7.9,"109,552","Action, Adventure, Fantasy",132,Film,PG013,0,None,Moderate,Mild,Mild,Mild
24,Billions,2021,8.4,"80,562",Drama,60,Series,TV0MA,72,Moderate,None,Severe,Moderate,None
25,Resident Evil: Welcome to Raccoon City,2021,No Rate,No Votes,"Action, Horror, Mystery",107,Film,R,0,No Rate,No Rate,No Rate,No Rate,No Rate
26,Spectre,2015,6.8,"407,514","Action, Adventure, Thriller",148,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
27,Casino Royale,2006,8,"613,873","Action, Adventure, Thriller",144,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
28,Lucifer,2006,8.1,"288,801","Crime, Drama, Fantasy",42,Series,TV014,93,Mild,Mild,Mild,Moderate,Mild
29,The Morning Show,2006,8.4,"73,736",Drama,60,Series,TV0MA,20,Mild,None,Severe,Mild,Mild
30,Halloween Kills,2021,6.1,"20,383","Horror, Thriller",105,Film,R,0,None,Severe,Severe,Mild,Severe
31,There's Someone Inside Your House,2021,4.8,"7,724","Horror, Mystery, Thriller",96,Film,TV0MA,0,Mild,Severe,Moderate,Moderate,Moderate
32,Malignant,2021,6.3,"53,310","Crime, Horror, Mystery",111,Film,R,0,None,Severe,Moderate,None,Severe
33,Wolf,2021,4.1,229,"Drama, Mystery, Thriller",98,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
34,La casa de papel,2021,8.2,"393,487","Action, Crime, Drama",70,Series,TV0MA,41,Moderate,Moderate,Moderate,Mild,Moderate
35,"Tick, Tick... Boom!",2021,No Rate,No Votes,"Biography, Drama, Musical",115,Film,PG013,0,No Rate,No Rate,No Rate,No Rate,No Rate
36,The Night House,2020,6.5,"14,936","Horror, Mystery, Thriller",107,Film,R,0,Mild,Moderate,Moderate,Moderate,Severe
37,Succession,2020,8.7,"66,106",Drama,60,Series,TV0MA,29,Moderate,Mild,Severe,Moderate,None
38,La Brea,2020,5.2,"3,198","Drama, Mystery, Sci0Fi",None,Series,TV014,5,None,Mild,No Rate,Mild,Mild
39,Venom,2018,6.7,"414,787","Action, Adventure, Sci0Fi",112,Film,PG013,0,Mild,Moderate,Moderate,Mild,Moderate
40,Skyfall,2012,7.8,"658,977","Action, Adventure, Thriller",143,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
41,NCIS: Naval Criminal Investigative Service,2012,7.7,"130,626","Action, Crime, Drama",60,Series,TV014,420,Mild,Moderate,Mild,Mild,Moderate
42,See,2012,7.6,"59,581","Action, Drama, Sci0Fi",60,Series,TV0MA,17,Moderate,Severe,Moderate,None,Moderate
43,The Addams Family 2,2021,5.3,"3,798","Animation, Adventure, Comedy",93,Film,PG,0,Mild,Moderate,None,None,Mild
44,Big Sky,2021,6.8,"11,483","Crime, Drama, Mystery",60,Series,TV014,20,Mild,Moderate,Mild,Mild,Moderate
