,Rate,Votes,Duration,A_Severe,Approved,Passed,PG,F_No.Rate,N_Mild,Series,V_Mild,Predicted
2,6.3,64375,90,0,0,0,0,0,0,0,0,6.37308875
5,8.3,84636,155,0,0,0,0,0,0,0,0,6.638228744
7,7.3,153835,115,0,0,0,0,0,1,0,0,6.57359359
10,7.9,15434,50,0,0,0,0,0,1,1,0,7.519608036
14,7.5,275094,41,0,0,0,0,0,0,1,0,8.056803676
19,7.9,109552,132,0,0,0,0,0,0,0,0,6.607104608
26,4.8,7724,96,0,0,0,0,0,1,0,0,6.222162696
28,4.1,229,98,0,0,0,0,1,0,0,0,5.887107466
32,6.7,414787,112,0,0,0,0,0,1,0,0,7.073083798
33,7.8,658977,143,0,0,0,0,0,1,0,0,7.657801058
43,7.6,82808,45,0,0,0,0,0,0,1,0,7.694956832
54,8,46774,43,0,0,0,0,0,1,1,0,7.556556396
57,7.5,52965,85,0,0,0,0,0,0,0,0,6.33344361
61,7.3,224344,132,0,0,0,0,0,0,0,0,6.831408176
65,8,219628,43,0,0,0,0,0,0,1,0,7.955363112
69,8.1,177854,42,0,0,0,0,0,1,1,0,7.809216716
73,8.1,78703,41,0,0,0,0,0,1,1,0,7.612005662
76,7.4,1370,108,0,0,0,0,0,0,0,1,6.42493698
87,7.6,20080,43,0,0,0,0,0,1,1,0,7.50439632
99,6.3,41301,106,0,0,0,0,0,1,0,0,6.322472154
103,8.1,146732,43,0,0,0,0,0,1,1,0,7.751874328
107,8.6,176135,58,0,0,0,0,0,0,1,1,8.03492779
110,8.3,520422,44,0,0,0,0,0,1,1,0,8.485534588
111,8.4,138887,64,0,0,0,0,0,0,1,0,7.870465198
112,8.6,381626,22,0,0,0,0,0,0,1,0,8.199037204
120,7.4,1122,116,0,0,0,0,0,0,0,0,6.339712388
121,7.8,1096676,194,0,0,0,0,0,0,0,0,8.751084904
128,8.6,144917,22,1,0,0,0,0,0,1,0,7.902707818
131,7.5,41356,30,0,0,0,0,0,1,1,0,7.500859624
133,7.1,18353,43,0,0,0,0,0,1,1,0,7.501021762
136,8.2,609446,170,0,0,0,0,0,1,0,0,7.654707484
138,8.1,32212,43,0,0,0,0,0,1,1,0,7.528102248
139,8.5,217452,46,1,0,0,0,0,0,1,0,8.127721208
144,6.9,120421,44,0,0,0,0,0,1,1,0,7.703932634
147,6.5,132934,106,0,0,0,0,0,1,0,0,6.501523036
148,5.8,33649,86,0,0,0,1,0,0,0,1,6.565170146
149,8.7,432280,44,0,0,0,0,0,1,1,0,8.31330512
151,7.6,325626,43,0,0,0,0,0,1,1,1,8.213933204
152,7.3,304350,111,0,0,0,0,0,1,0,0,6.8538199
153,8.4,380478,44,0,0,0,0,0,1,1,1,8.324584012
158,8.9,524326,55,1,0,0,0,0,0,1,0,8.758583004
162,8,502751,164,0,0,0,0,0,0,0,0,7.486455454
177,8.9,347559,53,0,0,0,0,0,1,1,0,8.178990286
180,8.7,111076,28,0,0,0,0,0,0,1,0,7.691202504
182,7.7,499163,157,0,0,0,0,0,1,0,0,7.394104502
183,6.2,117623,43,0,0,0,0,0,1,1,1,7.807495342
186,8.3,6334,43,1,0,0,0,0,0,1,0,7.704786636
195,8.5,237389,22,0,0,0,0,0,1,1,0,7.856148106
199,7.5,218811,91,0,0,0,0,0,1,0,0,6.617276694
207,8.2,4027,60,0,0,0,0,1,0,1,0,7.204668758
208,7.2,14256,566,0,0,0,0,0,0,1,0,9.368876224
212,5.8,24494,88,0,0,0,0,0,0,0,1,6.400721276
214,7.2,247470,130,0,0,0,0,0,0,0,0,6.86965638
215,9.2,1709439,175,0,0,0,0,0,0,0,0,9.882493806
216,7.3,159046,121,1,0,0,0,0,0,0,1,6.944345884
220,5.9,10579,43,0,0,0,0,0,0,1,1,7.659381366
223,8.6,1624116,169,0,0,0,0,0,0,0,1,9.807452664
224,7.4,139351,100,0,0,0,0,0,0,0,1,6.666791854
225,6.9,33733,92,0,0,0,0,0,0,0,0,6.320154282
235,5.1,1135,45,1,0,0,0,0,0,1,0,7.70156779
239,7.3,165973,97,0,0,0,0,0,0,0,0,6.595901242
243,5.4,119934,113,0,0,0,0,0,1,0,0,6.500411036
246,7.9,10844,43,0,0,0,0,0,1,1,0,7.486349176
247,8.2,5946,30,0,0,0,0,1,0,1,0,7.104318484
249,8,34243,22,0,0,0,0,0,1,1,0,7.459200822
251,6.6,170217,138,0,0,0,0,0,0,0,0,6.746464018
253,7.4,14574,52,0,0,0,0,0,0,1,0,7.585917596
261,6.6,2853,126,0,0,0,0,0,0,0,1,6.490294762
268,6.4,44437,93,0,0,0,0,0,0,0,0,6.344539898
271,8.3,101279,97,0,0,0,0,0,0,0,1,6.581989166
278,8.5,1244747,151,0,0,0,0,0,0,0,0,8.891205638
294,7.4,7037,22,0,0,0,0,1,0,0,0,5.636690298
295,8.8,1736338,178,0,0,0,0,0,0,0,0,9.945464452
300,8,57362,45,0,0,0,0,0,1,1,0,7.584185348
306,8.4,58565,51,0,0,0,0,0,0,1,0,7.66840601
327,8.7,49699,60,0,0,0,0,0,1,1,0,7.621261846
329,6.9,698,109,0,0,0,0,1,0,0,0,5.926193892
331,8.2,133186,22,0,0,0,0,0,1,1,1,7.765035444
333,7.8,235708,55,0,0,0,0,0,0,1,0,8.028423432
334,8.1,139455,43,0,0,0,0,0,0,1,0,7.79870507
339,7.7,345641,146,0,0,0,0,0,1,0,0,7.055952514
343,8.7,92233,50,0,0,0,0,0,1,1,0,7.669673282
346,7.8,63551,44,0,0,0,0,0,0,1,1,7.766358654
349,6,237673,102,0,0,0,0,0,1,0,1,6.804803042
351,8.7,1074102,146,1,0,0,0,0,1,0,0,8.645565308
354,8.1,21506,111,0,0,0,0,0,1,0,0,6.301142724
361,8.7,53641,25,0,0,0,0,0,0,1,0,7.568564514
367,6.7,50798,43,0,0,0,0,0,1,1,1,7.676919292
369,7.1,36654,112,0,0,0,0,0,1,0,1,6.446711916
371,8.4,87771,44,0,0,0,0,0,1,1,1,7.752634534
376,8.7,90875,57,0,0,0,0,0,0,1,1,7.86485975
385,8.3,77842,50,0,0,0,0,0,1,1,1,7.754053268
387,7.5,474766,112,0,0,0,0,0,0,0,0,7.251332764
388,8.4,542984,120,0,0,0,0,0,0,0,0,7.412390736
389,6.8,102320,121,0,0,0,1,0,1,0,0,6.64725328
392,8.1,890725,141,0,0,0,0,0,0,0,1,8.27724665
393,8.1,78262,22,0,0,0,0,0,1,1,0,7.545213948
401,7,16640,60,0,0,0,0,0,1,1,1,7.66916456
405,7.8,16898,60,0,0,0,0,0,0,1,1,7.730718692
407,5.9,653390,123,0,0,0,0,0,1,0,0,7.57748406
413,7.7,144843,180,0,0,0,0,0,0,0,1,6.955123222
414,8.3,178609,44,0,0,0,0,0,1,1,0,7.817631986
415,6.1,127534,100,0,0,0,1,0,0,0,1,6.797201436
416,5.4,13541,108,0,0,0,0,0,1,0,0,6.275169114
417,8,11189,90,0,0,0,0,0,1,1,0,7.650113306
