,Rate,Votes,Duration,A_Severe,Approved,Passed,PG,F_No.Rate,N_Mild,Series,V_Mild,Predicted
14,7.5,275094,41,0,0,0,0,0,0,1,0,8.073424222
19,7.9,109552,132,0,0,0,0,0,0,0,0,6.600848176
33,7.8,658977,143,0,0,0,0,0,1,0,0,7.689420701
34,7.7,130626,60,0,0,0,0,0,1,1,0,7.791270138
53,8.9,475207,22,0,0,0,0,0,1,1,0,8.361031691
59,7.9,43676,60,0,0,0,0,0,0,1,0,7.669519788
85,6.7,130524,45,0,0,0,0,0,0,1,0,7.795444812
117,7.7,22186,60,0,0,0,0,0,1,1,1,7.667500418
130,6.6,21358,139,0,0,0,0,1,0,0,0,6.074133654
134,8.6,60640,44,0,0,0,0,0,1,1,1,7.69274832
170,7.7,54651,44,0,0,0,0,0,1,1,0,7.586172463
184,5.4,24928,121,0,0,0,0,0,0,0,0,6.394640064
193,7.6,35262,43,0,0,0,0,0,0,1,0,7.597162406
195,8.5,237389,22,0,0,0,0,0,1,1,0,7.882304057
200,7.4,427885,150,0,0,0,0,0,0,0,0,7.300332505
201,5.5,1935,97,0,0,0,0,1,0,0,0,5.898115155
215,9.2,1709439,175,0,0,0,0,0,0,0,0,9.961600707
217,7.3,9034,48,0,0,0,0,0,0,1,0,7.560665442
244,5.4,233753,151,0,0,0,0,0,1,0,1,6.954044789
245,8.1,340603,242,0,0,0,0,0,0,0,0,7.424553839
259,7.6,36571,50,0,0,0,0,0,1,1,1,7.663857423
260,7,1440,44,1,0,0,0,0,1,1,0,7.64165872
261,6.6,2853,126,0,0,0,0,0,0,0,1,6.461023089
262,6.5,81417,92,0,0,0,0,0,0,0,0,6.413812421
281,8,182838,60,0,0,0,0,0,1,1,0,7.896372894
298,8.6,382011,54,0,0,0,0,0,1,1,0,8.277748143
306,8.4,58565,51,0,0,0,0,0,0,1,0,7.670151345
308,6.8,97989,42,0,0,0,0,0,1,1,0,7.666891857
316,7.4,30823,44,0,0,0,0,0,1,1,1,7.632726699
320,8.6,1336681,118,0,0,0,0,0,0,0,0,9.025418853
335,5.6,83586,91,0,0,0,0,0,0,0,0,6.414918618
338,8.6,244658,60,0,0,0,0,0,0,1,0,8.074096554
339,7.7,345641,146,0,0,0,0,0,1,0,0,7.068455333
340,5.3,49430,102,0,0,0,0,0,0,0,0,6.38202259
346,7.8,63551,44,0,0,0,0,0,0,1,1,7.751888163
348,6.7,86280,142,0,0,0,1,0,1,0,0,6.63982164
350,6.2,65629,107,0,0,0,0,0,1,0,0,6.377651177
359,8.3,330699,229,1,0,0,0,0,0,0,0,7.524837087
